ElectionDate,ElectionName,ContestNumber,ContestName,PrecinctNumber,WardNumber,Candidate,Party,Votes
12/4/2018 12:00:00 AM,Special Election,301,WARD FOUR MEMBER OF THE STATE BOARD OF EDUCATION,61,4,UNDER VOTES,,0
12/4/2018 12:00:00 AM,Special Election,301,WARD FOUR MEMBER OF THE STATE BOARD OF EDUCATION,61,4,OVER VOTES,,0
12/4/2018 12:00:00 AM,Special Election,301,WARD FOUR MEMBER OF THE STATE BOARD OF EDUCATION,61,4,WRITE-IN,NON,0
12/4/2018 12:00:00 AM,Special Election,301,WARD FOUR MEMBER OF THE STATE BOARD OF EDUCATION,61,4,"Frazier L. O'Leary, Jr.",NON,58
12/4/2018 12:00:00 AM,Special Election,301,WARD FOUR MEMBER OF THE STATE BOARD OF EDUCATION,61,4,Elani Lawrence,NON,11
12/4/2018 12:00:00 AM,Special Election,301,WARD FOUR MEMBER OF THE STATE BOARD OF EDUCATION,61,4,Ryan Tauriainen,NON,10
12/4/2018 12:00:00 AM,Special Election,301,WARD FOUR MEMBER OF THE STATE BOARD OF EDUCATION,61,4,Rhonda Henderson,NON,97
12/4/2018 12:00:00 AM,Special Election,-2,REGISTERED VOTERS - TOTAL,62,4,,CITYWIDE,3789
12/4/2018 12:00:00 AM,Special Election,-1,BALLOTS CAST - TOTAL,62,4,,CITYWIDE,664
12/4/2018 12:00:00 AM,Special Election,301,WARD FOUR MEMBER OF THE STATE BOARD OF EDUCATION,62,4,Rhonda Henderson,NON,273
12/4/2018 12:00:00 AM,Special Election,301,WARD FOUR MEMBER OF THE STATE BOARD OF EDUCATION,62,4,Ryan Tauriainen,NON,31
12/4/2018 12:00:00 AM,Special Election,301,WARD FOUR MEMBER OF THE STATE BOARD OF EDUCATION,62,4,Elani Lawrence,NON,96
12/4/2018 12:00:00 AM,Special Election,301,WARD FOUR MEMBER OF THE STATE BOARD OF EDUCATION,62,4,"Frazier L. O'Leary, Jr.",NON,259
12/4/2018 12:00:00 AM,Special Election,301,WARD FOUR MEMBER OF THE STATE BOARD OF EDUCATION,62,4,WRITE-IN,NON,4
12/4/2018 12:00:00 AM,Special Election,301,WARD FOUR MEMBER OF THE STATE BOARD OF EDUCATION,62,4,OVER VOTES,,0
12/4/2018 12:00:00 AM,Special Election,301,WARD FOUR MEMBER OF THE STATE BOARD OF EDUCATION,62,4,UNDER VOTES,,1
12/4/2018 12:00:00 AM,Special Election,-2,REGISTERED VOTERS - TOTAL,63,4,,CITYWIDE,4880
12/4/2018 12:00:00 AM,Special Election,-1,BALLOTS CAST - TOTAL,63,4,,CITYWIDE,467
12/4/2018 12:00:00 AM,Special Election,301,WARD FOUR MEMBER OF THE STATE BOARD OF EDUCATION,63,4,UNDER VOTES,,0
12/4/2018 12:00:00 AM,Special Election,301,WARD FOUR MEMBER OF THE STATE BOARD OF EDUCATION,63,4,OVER VOTES,,0
12/4/2018 12:00:00 AM,Special Election,301,WARD FOUR MEMBER OF THE STATE BOARD OF EDUCATION,63,4,WRITE-IN,NON,2
12/4/2018 12:00:00 AM,Special Election,301,WARD FOUR MEMBER OF THE STATE BOARD OF EDUCATION,63,4,"Frazier L. O'Leary, Jr.",NON,229
12/4/2018 12:00:00 AM,Special Election,301,WARD FOUR MEMBER OF THE STATE BOARD OF EDUCATION,63,4,Elani Lawrence,NON,47
12/4/2018 12:00:00 AM,Special Election,301,WARD FOUR MEMBER OF THE STATE BOARD OF EDUCATION,63,4,Ryan Tauriainen,NON,58
12/4/2018 12:00:00 AM,Special Election,301,WARD FOUR MEMBER OF THE STATE BOARD OF EDUCATION,63,4,Rhonda Henderson,NON,131
12/4/2018 12:00:00 AM,Special Election,-2,REGISTERED VOTERS - TOTAL,64,4,,CITYWIDE,2905
12/4/2018 12:00:00 AM,Special Election,-1,BALLOTS CAST - TOTAL,64,4,,CITYWIDE,245
12/4/2018 12:00:00 AM,Special Election,301,WARD FOUR MEMBER OF THE STATE BOARD OF EDUCATION,64,4,Rhonda Henderson,NON,147
12/4/2018 12:00:00 AM,Special Election,301,WARD FOUR MEMBER OF THE STATE BOARD OF EDUCATION,64,4,Ryan Tauriainen,NON,8
12/4/2018 12:00:00 AM,Special Election,301,WARD FOUR MEMBER OF THE STATE BOARD OF EDUCATION,64,4,Elani Lawrence,NON,15
12/4/2018 12:00:00 AM,Special Election,301,WARD FOUR MEMBER OF THE STATE BOARD OF EDUCATION,64,4,"Frazier L. O'Leary, Jr.",NON,75
12/4/2018 12:00:00 AM,Special Election,301,WARD FOUR MEMBER OF THE STATE BOARD OF EDUCATION,64,4,WRITE-IN,NON,0
12/4/2018 12:00:00 AM,Special Election,301,WARD FOUR MEMBER OF THE STATE BOARD OF EDUCATION,64,4,OVER VOTES,,0
12/4/2018 12:00:00 AM,Special Election,301,WARD FOUR MEMBER OF THE STATE BOARD OF EDUCATION,64,4,UNDER VOTES,,0
12/4/2018 12:00:00 AM,Special Election,-2,REGISTERED VOTERS - TOTAL,65,4,,CITYWIDE,3398
12/4/2018 12:00:00 AM,Special Election,-1,BALLOTS CAST - TOTAL,65,4,,CITYWIDE,224
12/4/2018 12:00:00 AM,Special Election,301,WARD FOUR MEMBER OF THE STATE BOARD OF EDUCATION,65,4,UNDER VOTES,,1
12/4/2018 12:00:00 AM,Special Election,301,WARD FOUR MEMBER OF THE STATE BOARD OF EDUCATION,65,4,OVER VOTES,,0
12/4/2018 12:00:00 AM,Special Election,301,WARD FOUR MEMBER OF THE STATE BOARD OF EDUCATION,65,4,WRITE-IN,NON,1
12/4/2018 12:00:00 AM,Special Election,301,WARD FOUR MEMBER OF THE STATE BOARD OF EDUCATION,65,4,"Frazier L. O'Leary, Jr.",NON,59
12/4/2018 12:00:00 AM,Special Election,301,WARD FOUR MEMBER OF THE STATE BOARD OF EDUCATION,65,4,Elani Lawrence,NON,27
12/4/2018 12:00:00 AM,Special Election,301,WARD FOUR MEMBER OF THE STATE BOARD OF EDUCATION,65,4,Ryan Tauriainen,NON,15
12/4/2018 12:00:00 AM,Special Election,301,WARD FOUR MEMBER OF THE STATE BOARD OF EDUCATION,65,4,Rhonda Henderson,NON,121
